E50005300GM0002020An50001753RNTA                                    INDUSTRIE CIGARETTE                     Tunis                                   Boulevard 15 Octobre                                                    00421080                                                                                                                                                                                 
L50005300GM00020200000371006942RAM000 Sttunisiennedeplexi                     Commercedeplexi                         40rueKhreddineBarbarousseTunisTuni                                                                                      000000018880000000000000283200000000002956664000000000739166000000000000000000000000000000000000000000000000000000000000000000017857634                          Morale
L50005300GM00020200000381840319WBM000 CIFArenault                             FOURNITUREAUTO                          57ruealidarghouth                                                                                                       000000003667400000000000055011000000000585596000000000146399000000000000000000000000000000000000000000000000000000000000000000003465990                          Morale
L50005300GM00020200000391042732MAM000 SOCIETERAPIDEBUREAUTIQUESERVICE         DIVERSSCEBUREAU                         7RUEMONASTIR1002TUNIS                                                                                                   000000007659667000000000114895000000001222984000000000305746000000000000000000000000000000000000000000000000000000000000000000007239026                          Morale
L50005300GM00020200000401005390BAM000 Cottasc                                 Ventesarticlessanitaires                48RueChadliKallala1002Tunis                                                                                             000000000208600000000000003129000000000033300000000000008325000000000000000000000000000000000000000000000000000000000000000000000197146                          Morale
L50005300GM00020200000411000812FAM000 LquipementModerne                       CommDquipement                          86AvdeCarthage1000Tunis                                                                                                 000000005128333000000000076925000000000818820000000000204705000000000000000000000000000000000000000000000000000000000000000000004846703                          Morale
L50005300GM00020200000421013887VBM000 STELASECURITE                           QUINCAILLERIE                           33BISRUEDItalie                                                                                                         000000000862733000000000012941000000000137748000000000034437000000000000000000000000000000000000000000000000000000000000000000000815355                          Morale
L50005300GM000202000004311130710FAM000Interprofil                             FenetreCoulissa                         Rue9007N5DjebelDhelloud1080Tunis                                                                                        000000015101067000000000226516000000002411100000000000602775000000000000000000000000000000000000000000000000000000000000000000014271776                          Morale
L50005300GM00020200000441033474MAM000 CigaFiltre                              Baguettesfiltre                         TourD5meEtImmSPRICARIANA                                                                                                000005448654200000000081729813000000869953312000000217488328000000000000000000000000000000000000000000000000000000000000000005149436059                          Morale
L50005300GM00020200000451009331GAM000 SME                                     fabricationdemballageencarton           GP1ROUTEMSAKENMESSADINE                                                                                                 000000351946667000000005279200000000056193216000000014048304000000000000000000000000000000000000000000000000000000000000000000332619163                          Morale
L50005300GM00020200000461514143WAM000 ENTABDESSALEMNAJAR                      PRODUITSANITAIRE                        4RUEVESLEDOUBOSVEILLE                                                                                                   000000002507200000000000037608000000000400396000000000100099000000000000000000000000000000000000000000000000000000000000000000002369493                          Morale
L50005300GM00020200000471047047TAM000 EDFELECTRIQUE                           CommerceArticleselectriques             76RueHoucineBouzaienneTunis1001                                                                                         000000002894800000000000043422000000000462208000000000115552000000000000000000000000000000000000000000000000000000000000000000002735826                          Morale
L50005300GM00020200000481045845JAM000 STEMONDIALEQUIPEMENT                    QUINQUERIEGENERAL                       19RUEALIBENGHEDAHEM1001                                                                                                 000000001940133000000000029102000000000309776000000000077444000000000000000000000000000000000000000000000000000000000000000000001833587                          Morale
L50005300GM0002020000049109277TAM000  MEUBLATEX                               ventesdesmeubles                        Routedetuniselhamdalekbira4011hammamsousse                                                                              000000005619133000000000084287000000000897180000000000224295000000000000000000000000000000000000000000000000000000000000000000005310551                          Morale
L50005300GM00020200000511000863SAM000 LACCUMULATIONTUNASSAD                   COMMERCEDEBATTERIESIND                  RUEDELAFONTEZIBENARROUS2013TUNIS                                                                                        000000005987600000000000089814000000001142136000000000285534000000000000000000000000000000000000000000000000000000000000000000005612252                          Morale
L50005300GM00020200000521032536EAM000 RESTAURANTDARELJELD                     RESTAURATION                            5ruedareljeldlakasbah                                                                                                   000000001440000000000000021600000000000094200000000000023550000000000000000000000000000000000000000000000000000000000000000000001394850                          Morale
L50005300GM00020200000531026133AAM000 SOTUVENT                                VENTILATION                             MGIRACENTRE2082FOUCHANAMRIRA2082                                                                                        000000011826667000000000177400000000001888296000000000472074000000000000000000000000000000000000000000000000000000000000000000011177193                          Morale
L50005300GM00020200000541007091BAM000 CEMTunisie                              Reparationmateriels                     ZIBP357030Mateur                                                                                                        000000006048067000000000090721000000000965668000000000241417000000000000000000000000000000000000000000000000000000000000000000005715929                          Morale
L50005300GM0002020000055100041kAM000  AACCSINDBADGROUP                        TRANSITAIRE                             4ET6IMPN1RUE8603CHARGUIA1                                                                                               000000003675933000000000055139000000000586928000000000146732000000000000000000000000000000000000000000000000000000000000000000003474062                          Morale
L50005300GM00020200000561176794SBC000 EtsBenYoussef                           Commpneumatiquecaoutchouindustriel      40bisRuedusahelMontfleuryTunis                                                                                          000000014356133000000000215342000000002292196000000000573049000000000000000000000000000000000000000000000000000000000000000000013567742                          Morale
L50005300GM00020200000571496792WAM000 INTEGRATIONPIECEMECANIQUES              MECANIQUE                               12RUEDEREYROUTH2004MEGRINE                                                                                              000000048161733000000000722426000000007689684000000001922421000000000000000000000000000000000000000000000000000000000000000000045516886                          Morale
L50005300GM00020200000581001395PAM000 SOCOOPEC                                CommercedePiecedeRechange               66AvdeCarthage1008Tunis                                                                                                 000000005111733000000000076676000000000816168000000000204042000000000000000000000000000000000000000000000000000000000000000000004831015                          Morale
L50005300GM00020200000591015075YAM000 GenralElectronicSystems                 DiversImprimantes                       RueduLacDAmnecyLesBergesduLac10                                                                                         000000011317133000000000169757000000001521948000000000380487000000000000000000000000000000000000000000000000000000000000000000010766889                          Morale
L50005300GM00020200000601939112XPM000 BIS                                     VENTEMATERIELINFORMATIQUE               TUNIS                                                                                                                   000000012735267000000000191029000000002019924000000000504981000000000000000000000000000000000000000000000000000000000000000000012039257                          Morale
L50005300GM00020200000611002436KAM000 STPCColla                               Colle                                   RoutedelaSoukraKm81080Tunis                                                                                             000000018217867000000000273268000000002908764000000000727191000000000000000000000000000000000000000000000000000000000000000000017217408                          Morale
L50005300GM00020200000621046015FAM000 PIMA                                    VENTEPIECEINDUSETMATERIELAGRICOL        ROUTEDENAASSENKM75ELMOUROUJ61135NAASSEN                                                                                 000000008717333000000000130760000000001391864000000000347966000000000000000000000000000000000000000000000000000000000000000000008238607                          Morale
L50005300GM00020200000631032995EAM000 GS1TunisiaTunicode                      DiversTunicode                          ImmeubleEnnourCentreUrbainNord1082                                                                                      000000002082533000000000031238000000000332500000000000083125000000000000000000000000000000000000000000000000000000000000000000001968170                          Morale
L50005300GM00020200000641029997GAM000 Sonelect                                CommercedeBascule                       22RueSaidAbouBakerTunis                                                                                                 000000001294667000000000019420000000000206716000000000051679000000000000000000000000000000000000000000000000000000000000000000001223568                          Morale
L50005300GM00020200000651539117BAM000 SteFerdaousAllumnium                    Travauxenalluminium                     AvMongiSlimKsarSaidTunis                                                                                                000000008166133000000000122492000000001303824000000000325956000000000000000000000000000000000000000000000000000000000000000000007717685                          Morale
L50005300GM00020200000661299843PAM000 CETRAM                                  PapierAluminium                         ZISidiRezigRuedesUsines                                                                                                 000004837890800000000072568362000000772200076000000193050019000000000000000000000000000000000000000000000000000000000000000004572272419                          Morale
L50005300GM00020200000671425129RAM000 Samitel                                 DiversTlphonique                        29RuedeLibanLafayette1002Tunis                                                                                          000000001262000000000000018930000000000201496000000000050374000000000000000000000000000000000000000000000000000000000000000000001192696                          Morale
L50005300GM00020200000681433074AAM000 STEMARITIMEGENMAR                       Transportmaritime                       ZPORTUAIRERADESPORT2040                                                                                                 000000013433467000000000201502000000006345092000000001586273000000000000000000000000000000000000000000000000000000000000000000011645692                          Morale
L50005300GM00020200000691035544SAM000 Sebit                                   EquipementBureautique                   18RuedIrak1002Tunis                                                                                                     000000005866667000000000088000000000000936700000000000234175000000000000000000000000000000000000000000000000000000000000000000005544492                          Morale
L50005300GM00020200000701003874JAM000 SIA                                     COMMPIECESDERECHANGES                   28RUEDETURQUITUNIS                                                                                                      000000025845533000000000387683000000004126592000000001031648000000000000000000000000000000000000000000000000000000000000000000024426202                          Morale
L50005300GM0002020000071132963WAM000  EQUIPEMENTVOITUREEUROPEENNES            VENTEPIECEDERECHANGE                    TUNIS                                                                                                                   000000000547400000000000008211000000000087400000000000021850000000000000000000000000000000000000000000000000000000000000000000000517339                          Morale
L50005300GM00020200000721002352GBM000 SOQUIMA                                 QuincaillerieetMaterielAgricole         55AvdeCarthageTunis                                                                                                     000000001921933000000000028829000000000306872000000000076718000000000000000000000000000000000000000000000000000000000000000000001816386                          Morale
L50005300GM00020200000731000246XAM000 COTUSAL                                 VENTEPRODUITALIMENTAIRE                 TUNIS                                                                                                                   000000007497000000000000112455000000001197000000000000299250000000000000000000000000000000000000000000000000000000000000000000007085295                          Morale
L50005300GM00020200000741633593HAM000 SMOKFIL                                 Baguettesfiltre                         Rue8601ZICharguia                                                                                                       000000072592667000000001088890000000011242060000000002810515000000000000000000000000000000000000000000000000000000000000000000068693262                          Morale
L50005300GM00020200000751054914FAP000 MohamedMrad                             Locataire                               45AvdeKoweit8050HammametTunisie                                                                                         000000006811132000000000000000000000005176460000000001294115000000000000000000000000000000000000000000000000000000000000000000005517017                          Morale
L50005300GM00020200000761433136XAM000 HPAutomatisme                           Serviceenautomatisme                    68Rue18janvier1001Tunis                                                                                                 000000004988133000000000074822000000000796432000000000199108000000000000000000000000000000000000000000000000000000000000000000004714203                          Morale
L50005300GM00020200000771644599ZAM000 CIFEDE                                  DiversFormation                         15RueAliIbenAbiTalebBelvedreTuni                                                                                        000000006180000000000000000000000000001174200000000000293550000000000000000000000000000000000000000000000000000000000000000000005886450                          Morale
L50005300GM00020200000781026685EAM000 SERDI                                   MaterieldeControle                      CentreSaid2N21AvHabibBouguiba203                                                                                        000000129832000000000001947480000000020094864000000005023716000000000000000000000000000000000000000000000000000000000000000000122860804                          Morale
L50005300GM00020200000791002410ZAM000 SOTUNOL                                 DiversSuperlatex                        RoutedesousseKm6Megrine2033Tunis                                                                                        000000011096600000000000166449000000001771720000000000442930000000000000000000000000000000000000000000000000000000000000000000010487221                          Morale
L50005300GM00020200000801632938JAM000 MSCTUNISIE                              TRANSPORTMARITIME                       ZISAINTGOBAIN2033MEGRINETUNIS                                                                                           000000054964267000000000824464000000066117484000000016529371000000000000000000000000000000000000000000000000000000000000000000037610432                          Morale
L50005300GM00020200000811607986YPM000 MaerskTunisie                           ServicedeChargementetdechargementsurestariesRouteduPort2040RadsTunis                                                                                                000000117820358000000000044900000000022385868000000005596467000000000000000000000000000000000000000000000000000000000000000000112178991                          Morale
L50005300GM00020200000821798725MAC000 HYDROMEC                                VENTEPIECEDERECHANGE                    25RUEDEGHBEJI1000TUNIS                                                                                                  000000000060933000000000000914000000000009732000000000002433000000000000000000000000000000000000000000000000000000000000000000000057586                          Morale
L50005300GM000202000008310183189TAC000MAGHREBTRANSMISSIONS                    Fournituresindustrielles                LOTN51RueMGHIRAZONEINDUSTRIELLEMGHIRAIIIFOUCHENA                                                                        000000023137333000000000347060000000003694204000000000923551000000000000000000000000000000000000000000000000000000000000000000021866722                          Morale
L50005300GM00020200000841610223JAM000 DeltaImpression                         Impression                              ZIMghiraRoutedeFouchana2082Ben                                                                                          000000679851933000000010197779000000108547812000000027136953000000000000000000000000000000000000000000000000000000000000000000642517201                          Morale
L50005300GM00020200000851035825ZAM000 PolycoqTunisie                          FabricationdeMouleenPolystyreneExpanse  32AvDarFadhallaSoukraTunis                                                                                              000000227159067000000003407386000000036269096000000009067274000000000000000000000000000000000000000000000000000000000000000000214684407                          Morale
L50005300GM00020200000861034815SAM000 SOCIETEJAOUHARA                         COMMSODIUM                              VOIEZ4STGOBAIN1009TUNIS                                                                                                 000000317440733000000004761611000000050683820000000012670955000000000000000000000000000000000000000000000000000000000000000000300008167                          Morale
L50005300GM00020200000871632938JAM000 MEDITERRANERSHIPPING                    SURESTARIE                              ZISaintGobainMegriene2033                                                                                               000000000297467000000000004462000000000734920000000000183730000000000000000000000000000000000000000000000000000000000000000000000109275                          Morale
L50005300GM00020200000881617898EAM000 STEALUSUD                               MENUISERIEALUMINIUM                     RoutedesousseGP11009Tunis                                                                                               000000002737000000000000041055000000000437000000000000109250000000000000000000000000000000000000000000000000000000000000000000002586695                          Morale
L50005300GM00020200000891767182GBM000 COGESC                                  Equipementsanitaireetchauffage          44AvdeLondres1000Tunis                                                                                                  000000001467133000000000022007000000000234256000000000058564000000000000000000000000000000000000000000000000000000000000000000001386562                          Morale
L50005300GM00020200000901339982ZAP000 HATEMLATIRI                             ARCHITECTURE                            avenuedelarepubliquehammamsousse                                                                                        000000007518215000000000000000000000000977368000000000244342000000000000000000000000000000000000000000000000000000000000000000007273873                          Morale
L50005300GM00020200000911650265RAC000 STETORKHANI                             COMMERCEENINSTRUMENTSDEPESAGE           9BISRUEMALTASGHIRA1000TUNIS                                                                                             000000002975000000000000044625000000000475000000000000118750000000000000000000000000000000000000000000000000000000000000000000002811625                          Morale
L50005300GM00020200000921433049ZBM000 LeProfessionnel                         Quincaillerie                           63AvdeCarthage1000Tunis                                                                                                 000000048832400000000000732486000000007796780000000001949195000000000000000000000000000000000000000000000000000000000000000000046150719                          Morale
L50005300GM00020200000931047452DAM000 StdesproduitssidururgiquesPROSID        CommProduitssidururgiques               ZILotsN232014MgrineRiadh                                                                                                000000004443267000000000066649000000000709424000000000177356000000000000000000000000000000000000000000000000000000000000000000004199262                          Morale
L50005300GM00020200000941005058RBM000 SACMI                                   Commercedumaterielindustriel            ZIAriana1080Tunis                                                                                                       000000051822067000000000777331000000007664464000000001916116000000000000000000000000000000000000000000000000000000000000000000049128620                          Morale
L50005300GM00020200000951544644EAM000 CHEMICALINKCOMPANY                      equipementbureautique                   20ruedukoweitTunis1002                                                                                                  000000007288000000000000109320000000001163636000000000290909000000000000000000000000000000000000000000000000000000000000000000006887771                          Morale
L50005300GM00020200000961434307CAC000 MAKREMBENCHORBAL                        equipementbureautique                   8RueEljaziraTUNIS                                                                                                       000000001190000000000000017850000000000190000000000000047500000000000000000000000000000000000000000000000000000000000000000000001124650                          Morale
L50005300GM000202000009711080844QAM00 GEM                                     CompresseurRotat                        49RUEABDERRAZEKCHRAIBI1001Tunis                                                                                         000000000411267000000000006169000000000065664000000000016416000000000000000000000000000000000000000000000000000000000000000000000388682                          Morale
L50005300GM00020200000981820475XAM000 BAECBUREAUAFRICAINETUDESCONSEIL         ETUDEETCONSEIL                          RsidenceKahia22metageApp252040Rads                                                                                      000000016283538000000000000000000000002116860000000000529215000000000000000000000000000000000000000000000000000000000000000000015754323                          Morale
L50005300GM00020200000991750167XAM000 EtsENNADHAFABENJEMIA                    venteengrosproduitdentretienetarticlesdemenageetparfumerie23RuedesGRANDSLACS2070LAMARRSA                                                                                          000000003156600000000000047349000000000503996000000000125999000000000000000000000000000000000000000000000000000000000000000000002983252                          Morale
L50005300GM000202000010011307434GPM000CMACGM                                  TransportHAMFret                        RouteduPortbp772Rads2004Tunisie                                                                                         000000143064133000000002145962000000119643132000000029910783000000000000000000000000000000000000000000000000000000000000000000111007388                          Morale
L50005300GM00020200001021033480KAM000 PREVENTEC                               CONTROLETECHNIQUE                       7RUEDIraq2emeetage1002belevdere                                                                                         000000004972000000000000074580000000000572000000000000143000000000000000000000000000000000000000000000000000000000000000000000004754420                          Morale
L50005300GM00020200001031425798KAM000 ARCHIMED                                ARCHITECTURE                            7IBNELJAZAR1002LAFAYETTETUNIS                                                                                           000000004295723000000000000000000000000558444000000000139611000000000000000000000000000000000000000000000000000000000000000000004156112                          Morale
L50005300GM00020200001041047056VAM000 MondialElectric                         Electricit                              2022AhmedTliliTunis                                                                                                     000000003794800000000000056922000000000468748000000000117187000000000000000000000000000000000000000000000000000000000000000000003620691                          Morale
L50005300GM00020200001051001522CAM000 SOTUCEP                                 CHAUFFAGEECLERAGEETPLOMBERIE            8RUEABOUELHASSANGABSICITEELKHADRA1003TUNIS                                                                              000000012451067000000000186766000000001672924000000000418231000000000000000000000000000000000000000000000000000000000000000000011846070                          Morale
L50005300GM00020200001061782351VAM000 JMSPlus                                 DiversConfectionetVenteenDetaildeFlexibleCitErriadhGP1Km38Grombalia8030                                                                                          000000000364867000000000005473000000000058260000000000014565000000000000000000000000000000000000000000000000000000000000000000000344829                          Morale
L50005300GM00020200001071017565WAM000 SudMetal                                Toustravauxdemetal                      ZIIMSMMTMgrineTunis                                                                                                     000000001608533000000000024128000000000256824000000000064206000000000000000000000000000000000000000000000000000000000000000000001520199                          Morale
L50005300GM00020200001081896135SAM000 TunisiaIntership                        DechargementRestitutionNettoyage        RadsTunis                                                                                                               000000303032667000000004545490000000115580788000000028895197000000000000000000000000000000000000000000000000000000000000000000269591980                          Morale
L50005300GM00020200001101000548JAM000 AmpereElectic                           CoffretBipolaire2modsiame               77Avdecarthage1025Tunis                                                                                                 000000009991200000000000149868000000001543788000000000385947000000000000000000000000000000000000000000000000000000000000000000009455385                          Morale
L50005300GM00020200001111849863FAM000 CleanAir                                DiversLesbergesduLacTunis               LesbergesduLacTunis                                                                                                     000000007416067000000000111241000000001184080000000000296020000000000000000000000000000000000000000000000000000000000000000000007008806                          Morale
L50005300GM00020200001121601736EAM000 LATUNISIENNETRANSPORTROUTIER            TRANSPORT                               ZONEPORTUAIREDERADESBENAROUS2040                                                                                        000000008063267000000000120949000000010275168000000002568792000000000000000000000000000000000000000000000000000000000000000000005373526                          Morale
L50005300GM00020200001131513844QAM000 AFRIQUETRANSSMISSION                    VENTESDEPIECESDERECHANGESAUTO           90AVDECARTHAGEN16ET17TUNIS                                                                                              000000004989400000000000074841000000000796668000000000199167000000000000000000000000000000000000000000000000000000000000000000004715392                          Morale
L50005300GM00020200001141433708MAM000 BrainInformatiqueHP                     Commercematerielinformatique            17ruedeMauritanie1002BlvdreTuni                                                                                         000000004787133000000000071807000000000621144000000000155286000000000000000000000000000000000000000000000000000000000000000000004560040                          Morale
L50005300GM0002020000115183046XCA000  MRMLAMAISONDURIDEAUMETALSCES            VENTEPORTERIDEAUX                                                                                                                                               000000007276800000000000109152000000001161848000000000290462000000000000000000000000000000000000000000000000000000000000000000006877186                          Morale
L50005300GM00020200001161486788VAM000 MAAREFABUREAUTIQUE                      Importationetventedeconsommable         104AvHBougatfa2000lebardo                                                                                               000000044608267000000000669124000000007122336000000001780584000000000000000000000000000000000000000000000000000000000000000000042158559                          Morale
L50005300GM00020200001171005902DAM000 STETOPETANCHITE                         BalaisETCharbon                         ZIMegrine2033Tunis                                                                                                      000000000446200000000000006693000000000071252000000000017813000000000000000000000000000000000000000000000000000000000000000000000421694                          Morale
L50005300GM00020200001181993004AAM000 3IA                                     SERVICESINFORMATIQUES                   ALMADINAALJADIDA32063BENARROUS                                                                                          000000003570000000000000053550000000000570000000000000142500000000000000000000000000000000000000000000000000000000000000000000003373950                          Morale
L50005300GM00020200001191618429GAM000 StEymendeTransportTerrestre             Transport                               ZIZaghouanTunis                                                                                                         000000976197800000000014642967000000063864012000000015966003000000000000000000000000000000000000000000000000000000000000000000945588830                          Morale
L50005300GM00020200001201033162YAM000 ImprimeriePrincipale                    ImpressionEditionEmballage              RuedesmtauxZIndBenArous2013Tuni                                                                                         000000351500067000000005272501000000056121888000000014030472000000000000000000000000000000000000000000000000000000000000000000332197094                          Morale
L50005300GM00020200001211887904KAM000 TunisianTobaccoInvestment               Commerceenfournituredecigarettes        RuedesentrepreneursZICharguiaII                                                                                         000002949819600000000044247294000000470979600000000117744900000000000000000000000000000000000000000000000000000000000000000002787827406                          Morale
